s,m/s
Time,"DUCT_FLOW_RATE"
 3.7010763E+001, 6.1567228E-003
 3.7123111E+001, 6.7214483E-003
 3.7235458E+001, 7.5378731E-003
 3.7347806E+001, 8.4293676E-003
 3.7403979E+001, 9.1446804E-003
 3.7516327E+001, 9.9065206E-003
 3.7628674E+001, 1.0983836E-002
 3.7741022E+001, 1.2134008E-002
 3.7853369E+001, 1.3356107E-002
 3.7909543E+001, 1.4317466E-002
 3.8021890E+001, 1.5323993E-002
 3.8134238E+001, 1.6727158E-002
 3.8246585E+001, 1.8204598E-002
 3.8302759E+001, 1.9359203E-002
 3.8415107E+001, 2.0559759E-002
 3.8527454E+001, 2.2219876E-002
 3.8639802E+001, 2.3948621E-002
 3.8752149E+001, 2.5742747E-002
 3.8808323E+001, 2.7127697E-002
 3.8920670E+001, 2.8550478E-002
 3.9033018E+001, 3.0495547E-002
 3.9145365E+001, 3.2494713E-002
 3.9201539E+001, 3.4024872E-002
 3.9313886E+001, 3.5582050E-002
 3.9426234E+001, 3.7689022E-002
 3.9538581E+001, 3.9826621E-002
 3.9650929E+001, 4.1988899E-002
 3.9707103E+001, 4.3623645E-002
 3.9819450E+001, 4.5268755E-002
 3.9931798E+001, 4.7472842E-002
 4.0044145E+001, 4.9685203E-002
 4.0100319E+001, 5.1346627E-002
 4.0212666E+001, 5.3007115E-002
 4.0325014E+001, 5.5216151E-002
 4.0437361E+001, 5.7415908E-002
 4.0549709E+001, 5.9603487E-002
 4.0605883E+001, 6.1235258E-002
 4.0718230E+001, 6.2856809E-002
 4.0830578E+001, 6.5003020E-002
 4.0942925E+001, 6.7126635E-002
 4.1055272E+001, 6.9222970E-002
 4.1111446E+001, 7.0775953E-002
 4.1223794E+001, 7.2307219E-002
 4.1336141E+001, 7.4317026E-002
 4.1448489E+001, 7.6285275E-002
 4.1504662E+001, 7.7733347E-002
 4.1617010E+001, 7.9150975E-002
 4.1729357E+001, 8.0997260E-002
 4.1841705E+001, 8.2787009E-002
 4.1954052E+001, 8.4516439E-002
 4.2010226E+001, 8.5774282E-002
 4.2122574E+001, 8.6991592E-002
 4.2234921E+001, 8.8560647E-002
 4.2347269E+001, 9.0064738E-002
 4.2403442E+001, 9.1152211E-002
 4.2515790E+001, 9.2199192E-002
 4.2628137E+001, 9.3542036E-002
 4.2740485E+001, 9.4822437E-002
 4.2852832E+001, 9.6043336E-002
 4.2909006E+001, 9.6923884E-002
 4.3021353E+001, 9.7771527E-002
 4.3133701E+001, 9.8860730E-002
 4.3246048E+001, 9.9902635E-002
 4.3302222E+001, 1.0065537E-001
 4.3414570E+001, 1.0137999E-001
 4.3526917E+001, 1.0230900E-001
 4.3639265E+001, 1.0319367E-001
 4.3751612E+001, 1.0403384E-001
 4.3807786E+001, 1.0463560E-001
 4.3920133E+001, 1.0520775E-001
 4.4032481E+001, 1.0592822E-001
 4.4144828E+001, 1.0659314E-001
 4.4201002E+001, 1.0705369E-001
 4.4313349E+001, 1.0747237E-001
 4.4425697E+001, 1.0796975E-001
 4.4538044E+001, 1.0838802E-001
 4.4650392E+001, 1.0872015E-001
 4.4706566E+001, 1.0891144E-001
 4.4818913E+001, 1.0904085E-001
 4.4931261E+001, 1.0912548E-001
 4.5043608E+001, 1.0909857E-001
 4.5155956E+001, 1.0895414E-001
 4.5212129E+001, 1.0876978E-001
 4.5324477E+001, 1.0850751E-001
 4.5436824E+001, 1.0805236E-001
 4.5549172E+001, 1.0746986E-001
 4.5605346E+001, 1.0695389E-001
 4.5717693E+001, 1.0636016E-001
 4.5830040E+001, 1.0546806E-001
 4.5942388E+001, 1.0446133E-001
 4.6054735E+001, 1.0334843E-001
 4.6110909E+001, 1.0245315E-001
 4.6223257E+001, 1.0150389E-001
 4.6335604E+001, 1.0017620E-001
 4.6447952E+001, 9.8787110E-002
 4.6504125E+001, 9.7715493E-002
 4.6616473E+001, 9.6623603E-002
 4.6728820E+001, 9.5154049E-002
 4.6841168E+001, 9.3684272E-002
 4.6953515E+001, 9.2232245E-002
 4.7009689E+001, 9.1163456E-002
 4.7122037E+001, 9.0123083E-002
 4.7234384E+001, 8.8783363E-002
 4.7346731E+001, 8.7510586E-002
 4.7402905E+001, 8.6603691E-002
 4.7515253E+001, 8.5749177E-002
 4.7627600E+001, 8.4684520E-002
 4.7739948E+001, 8.3713296E-002
 4.7852295E+001, 8.2837215E-002
 4.7908469E+001, 8.2239115E-002
 4.8020816E+001, 8.1698232E-002
 4.8133164E+001, 8.1049695E-002
 4.8245511E+001, 8.0483129E-002
 4.8301685E+001, 8.0105231E-002
 4.8414033E+001, 7.9770027E-002
 4.8526380E+001, 7.9373787E-002
 4.8638728E+001, 7.9030584E-002
 4.8751075E+001, 7.8731440E-002
 4.8807249E+001, 7.8529827E-002
 4.8919596E+001, 7.8346408E-002
 4.9031944E+001, 7.8120453E-002
 4.9144291E+001, 7.7910284E-002
 4.9200465E+001, 7.7758489E-002
 4.9312812E+001, 7.7608846E-002
 4.9425160E+001, 7.7407174E-002
 4.9537507E+001, 7.7197452E-002
 4.9649855E+001, 7.6974450E-002
 4.9706029E+001, 7.6796415E-002
 4.9818376E+001, 7.6605804E-002
 4.9930724E+001, 7.6333034E-002
 5.0043071E+001, 7.6035922E-002
 5.0155419E+001, 7.5712206E-002
 5.0211592E+001, 7.5451559E-002
 5.0323940E+001, 7.5171906E-002
 5.0436287E+001, 7.4772592E-002
 5.0548635E+001, 7.4340977E-002
 5.0604808E+001, 7.3997166E-002
 5.0717156E+001, 7.3633701E-002
 5.0829503E+001, 7.3123640E-002
 5.0941851E+001, 7.2583798E-002
 5.1054198E+001, 7.2014672E-002
 5.1110372E+001, 7.1569693E-002
 5.1222720E+001, 7.1106748E-002
 5.1335067E+001, 7.0466099E-002
 5.1447415E+001, 6.9798581E-002
 5.1503588E+001, 6.9282178E-002
 5.1615936E+001, 6.8751214E-002
 5.1728283E+001, 6.8025305E-002
 5.1840631E+001, 6.7279136E-002
 5.1952978E+001, 6.6513981E-002
 5.2009152E+001, 6.5928874E-002
 5.2121500E+001, 6.5333240E-002
 5.2233847E+001, 6.4526255E-002
 5.2346194E+001, 6.3705702E-002
 5.2402368E+001, 6.3083004E-002
 5.2514716E+001, 6.2454161E-002
 5.2627063E+001, 6.1608793E-002
 5.2739411E+001, 6.0756330E-002
 5.2851758E+001, 5.9897989E-002
 5.2907932E+001, 5.9251261E-002
 5.3020279E+001, 5.8602379E-002
 5.3132627E+001, 5.7735615E-002
 5.3244974E+001, 5.6868615E-002
 5.3301148E+001, 5.6219205E-002
 5.3413496E+001, 5.5571468E-002
 5.3525843E+001, 5.4710924E-002
 5.3638191E+001, 5.3854984E-002
 5.3750538E+001, 5.3004673E-002
 5.3806712E+001, 5.2371143E-002
 5.3919059E+001, 5.1742517E-002
 5.4031407E+001, 5.0912244E-002
 5.4143754E+001, 5.0092788E-002
 5.4256102E+001, 4.9285604E-002
 5.4312275E+001, 4.8688670E-002
 5.4424623E+001, 4.8100340E-002
 5.4536970E+001, 4.7327678E-002
 5.4649318E+001, 4.6570060E-002
 5.4705492E+001, 4.6011788E-002
 5.4817839E+001, 4.5464000E-002
 5.4930187E+001, 4.4748598E-002
 5.5042534E+001, 4.4052029E-002
 5.5154882E+001, 4.3375159E-002
 5.5211055E+001, 4.2880164E-002
 5.5323403E+001, 4.2398103E-002
 5.5435750E+001, 4.1773065E-002
 5.5548098E+001, 4.1169615E-002
 5.5604271E+001, 4.0730785E-002
 5.5716619E+001, 4.0306055E-002
 5.5828966E+001, 3.9758986E-002
 5.5941314E+001, 3.9235538E-002
 5.6053661E+001, 3.8736371E-002
 5.6109835E+001, 3.8377503E-002
 5.6222183E+001, 3.8034482E-002
 5.6334530E+001, 3.7598706E-002
 5.6446878E+001, 3.7189578E-002
 5.6503051E+001, 3.6899650E-002
 5.6615399E+001, 3.6626955E-002
 5.6727746E+001, 3.6286970E-002
 5.6840094E+001, 3.5975697E-002
 5.6952441E+001, 3.5693531E-002
 5.7008615E+001, 3.5500236E-002
 5.7120962E+001, 3.5325428E-002
 5.7233310E+001, 3.5117241E-002
 5.7345657E+001, 3.4939555E-002
 5.7401831E+001, 3.4825812E-002
 5.7514179E+001, 3.4732195E-002
 5.7626526E+001, 3.4634991E-002
 5.7738874E+001, 3.4571697E-002
 5.7851221E+001, 3.4542955E-002
 5.7907395E+001, 3.4543179E-002
 5.8019742E+001, 3.4565265E-002
 5.8132090E+001, 3.4624385E-002
 5.8244437E+001, 3.4719634E-002
 5.8300611E+001, 3.4814128E-002
 5.8412959E+001, 3.4932256E-002
 5.8525306E+001, 3.5122068E-002
 5.8637653E+001, 3.5351083E-002
 5.8750001E+001, 3.5619263E-002
 5.8806175E+001, 3.5844637E-002
 5.8918522E+001, 3.6093935E-002
 5.9030870E+001, 3.6457870E-002
 5.9143217E+001, 3.6859456E-002
 5.9255565E+001, 3.7298716E-002
 5.9311738E+001, 3.7651722E-002
 5.9424086E+001, 3.8027843E-002
 5.9536433E+001, 3.8559038E-002
 5.9648781E+001, 3.9123786E-002
 5.9704955E+001, 3.9566690E-002
 5.9817302E+001, 4.0027176E-002
 5.9929650E+001, 4.0662261E-002
 6.0041997E+001, 4.1320013E-002
 6.0154345E+001, 4.1997238E-002
 6.0210518E+001, 4.2515359E-002
 6.0322866E+001, 4.3041335E-002
 6.0435213E+001, 4.3748912E-002
 6.0547561E+001, 4.4458557E-002
 6.0603734E+001, 4.4988375E-002
 6.0716082E+001, 4.5511768E-002
 6.0828429E+001, 4.6196382E-002
 6.0940777E+001, 4.6859153E-002
 6.1053124E+001, 4.7494165E-002
 6.1109298E+001, 4.7950066E-002
 6.1221646E+001, 4.8382772E-002
 6.1333993E+001, 4.8925303E-002
 6.1446341E+001, 4.9423025E-002
 6.1502514E+001, 4.9766715E-002
 6.1614862E+001, 5.0080097E-002
 6.1727209E+001, 5.0458204E-002
 6.1839557E+001, 5.0791544E-002
 6.1951904E+001, 5.1086005E-002
 6.2008078E+001, 5.1287288E-002
 6.2120425E+001, 5.1475304E-002
 6.2232773E+001, 5.1719033E-002
 6.2345120E+001, 5.1970345E-002
 6.2401294E+001, 5.2174975E-002
 6.2513642E+001, 5.2409595E-002
 6.2625989E+001, 5.2783944E-002
 6.2738337E+001, 5.3262263E-002
 6.2850684E+001, 5.3882769E-002
 6.2906858E+001, 5.4460570E-002
 6.3019205E+001, 5.5177402E-002
 6.3131553E+001, 5.6358959E-002
 6.3243900E+001, 5.7865451E-002
 6.3300074E+001, 5.9236770E-002
 6.3412422E+001, 6.0892548E-002
 6.3524769E+001, 6.3544867E-002
 6.3637116E+001, 6.6819135E-002
 6.3749464E+001, 7.0827866E-002
 6.3805638E+001, 7.4360941E-002
 6.3917985E+001, 7.8492955E-002
 6.4030333E+001, 8.4901138E-002
 6.4142680E+001, 9.2506753E-002
 6.4255028E+001, 1.0143449E-001
 6.4311201E+001, 1.0901200E-001
 6.4423549E+001, 1.1750496E-001
 6.4535896E+001, 1.3005165E-001
 6.4648244E+001, 1.4400047E-001
 6.4704418E+001, 1.5525402E-001
 6.4816765E+001, 1.6716127E-001
 6.4929113E+001, 1.8365158E-001
 6.5041460E+001, 2.0048912E-001
